Job Title,Job Info,Position,Employer,City,Province,Skill,Seniority,Work Type,Industry Type,Min_Salary,Max_Salary,Avg_Salary,Skill_List,Education_Level
Systems and Data Analysts,Binance Accelerator Program - Data Analyst (Risk),Risk Analyst,Binance,Remote,Undef,"Python, Sql",ANY,Remote,Others,76000.0,89440.0,82720.0,"['python', 'sql']",Bachelor's
Business and Marketing Analysts,Business Analyst,Business Analyst,Canadian Nuclear Laboratories,Remote,Undef,"Power Bi, Power BI, Excel",ANY,Remote,Others,65000.0,87000.0,76000.0,"['power bi', 'power bi', 'excel']",Bachelor's
Business and Technical Analysts,Geophysicist/Data Analyst,Data Analyst,Sander Geophysics Limited,Ottawa,ON,Undef,ANY,In-Person,Technology,64123.59,86600.0,75361.795,['undef'],Bachelor's
Systems and Data Analysts,Business Intelligence Data Engineer,Data Engineer,"Maximus Services, LLC",Toronto,ON,"Fabric, Power BI, Sql, Machine Learning, Genesys, Python, R, Database",ANY,In-Person,Service,87875.0,105000.0,96437.5,"['fabric', 'power bi', 'sql', 'machine learning', 'genesys', 'python', 'r', 'database']",Bachelor's
Systems and Data Analysts,"BUSINESS INTELLIGENCE SPECIALIST, FT",Data Specialist,Niagara Health System,Niagara,ON,"Azure, Power BI, SQL, Aws",Senior,In-Person,Healthcare,115211.2,130332.8,122772.0,"['azure', 'power bi', 'sql', 'aws']",Bachelor's
Senior Supply Chain Data Analysts,Continuous Improvement Analyst,Analyst,IMP Group,Abbotsford,BC,Excel,ANY,In-Person,Others,68500.0,87000.0,77750.0,['excel'],Bachelor's
Senior Business Intelligence Analysts,IT Business Process Analyst,Analyst,Ground Effects,Windsor,ON,"C#, Javascript, Sql, Database",ANY,In-Person,Others,68000.0,88300.0,78150.0,"['c#', 'javascript', 'sql', 'database']",Bachelor's
Systems and Data Analysts,Computer Programmer/Analyst,Programmer,The City of Vancouver,Vancouver,BC,"Database, Sql, Power Platform, Ssis, Azure, Ssrs, Git, .Net, Python, Javascript",ANY,In-Person,Technology,91145.6,107702.4,99424.0,"['database', 'sql', 'power platform', 'ssis', 'azure', 'ssrs', 'git', '.net', 'python', 'javascript']",Bachelor's
Senior Business Intelligence Analysts,"Senior Developer, Business Intelligence",Developer,Ontario Health,Toronto,ON,"Power Bi, Power Platform, Ssis, Sql, Big Data, Sas, Ssrs, Azure, Python, R",Senior,In-Person,Healthcare,68000.0,88300.0,78150.0,"['power bi', 'power platform', 'ssis', 'sql', 'big data', 'sas', 'ssrs', 'azure', 'python', 'r']",Bachelor's
Senior Supply Chain Data Analysts,OPGT MOD Ã¢â‚¬â€œ ONE (1) BUSINESS ANALYST Ã¢â‚¬â€œ SENIOR,Business Analyst,Softline Technology,Toronto,ON,"Sql, Gap, Power BI",Senior,In-Person,Technology,68500.0,87000.0,77750.0,"['sql', 'gap', 'power bi']",Bachelor's
Senior Supply Chain Data Analysts,OPGT MOD Ã¢â‚¬â€œ ONE (1) BUSINESS ANALYST Ã¢â‚¬â€œ SENIOR,Business Analyst,Softline Technology,Toronto,ON,"Sql, Gap, Power BI",Senior,In-Person,Technology,68500.0,87000.0,77750.0,"['sql', 'gap', 'power bi']",Bachelor's
Senior Supply Chain Data Analysts,OPGT MOD Ã¢â‚¬â€œ ONE (1) BUSINESS ANALYST Ã¢â‚¬â€œ SENIOR,Business Analyst,Softline Technology,Toronto,ON,"Sql, Gap, Power BI",Senior,In-Person,Technology,68500.0,87000.0,77750.0,"['sql', 'gap', 'power bi']",Bachelor's
Senior Supply Chain Data Analysts,Business Analyst/Quality Assurance Analyst,Business Analyst,DLL,Burlington,ON,"Jira, Excel, Reason, Database",ANY,In-Person,Others,75898.0,113847.0,94872.5,"['jira', 'excel', 'reason', 'database']",Bachelor's
Senior Business Intelligence Analysts,Capital & Maintenance Program Analyst,Analyst,Toronto Hydro,Toronto,ON,"Gap, Vba, Excel, Sql",ANY,In-Person,Others,68000.0,88300.0,78150.0,"['gap', 'vba', 'excel', 'sql']",Bachelor's
Systems and Data Analysts,Computer Programmer/Analyst,Programmer,The City of Vancouver,Vancouver,BC,"Database, Sql, Power Platform, Ssis, Azure, Ssrs, Git, .Net, Python, Javascript",ANY,In-Person,Technology,99049.6,117041.6,108045.6,"['database', 'sql', 'power platform', 'ssis', 'azure', 'ssrs', 'git', '.net', 'python', 'javascript']",Bachelor's
Senior Business Analysts,Senior Policy Analyst,Analyst,Insurance Council of BC,Vancouver,BC,Undef,Senior,In-Person,Insurance,89606.0,128809.0,109207.5,['undef'],Bachelor's
Senior Business Intelligence Analysts,Business Operations Analyst (1 year Contract),Analyst,TMX Group Limited,Toronto,ON,Database,ANY,In-Person,Technology,68000.0,88300.0,78150.0,['database'],Bachelor's
Business Systems Analysts,Senior Business Systems Analyst,System Analyst,Royal Bank of Canada,Toronto,ON,"Sql, Big Data, Gap, Jira, Database",Senior,In-Person,Finance,85816.8,91520.0,88668.4,"['sql', 'big data', 'gap', 'jira', 'database']",Bachelor's
Systems and Data Analysts,Research Analyst - Translational Addiction Research Laboratory,Analyst,Centre for Addiction and Mental Health,Toronto,ON,Database,ANY,In-Person,Healthcare,57158.4,76232.0,66695.2,['database'],Bachelor's
